date,party,winner,loser
2016-03-20,six,M35,M04
2016-03-21,five,M54,M16
2016-03-24,six,M21,M32
2016-03-24,six,M24,M32
2016-03-24,six,M35,M20
2016-03-25,six,M17,M24
2016-03-25,six,M28,M51
2016-03-25,six,M35,M15
2016-03-25,six,M51,M21
2016-03-26,nine,M12,M11
2016-03-26,nine,M42,M11
2016-03-26,nine,M42,M11
2016-03-26,nine,M11,M39
2016-03-27,six,M17,M35
2016-03-27,six,M51,M35
2016-03-29,nine,M42,M11
2016-03-30,six,M28,M06
2016-04-01,six,M24,M32
2016-04-01,six,M28,M24
2016-04-03,nine,M12,M11
2016-04-04,six,M24,M32
2016-04-04,five,M27,M55
2016-04-04,six,M17,M15
2016-04-05,five,M54,M55
2016-04-08,six,M24,M04
2016-04-09,five,M43,M16
2016-04-10,nine,M11,M39
2016-04-10,nine,M42,M39
2016-04-12,six,M20,M04
2016-04-12,five,M08,M16
2016-04-12,five,M38,M55
2016-04-13,nine,M44,M02
2016-04-13,nine,M44,M02
2016-04-13,nine,M05,M02
2016-04-15,six,M17,M51
2016-05-09,five,M38,M16
2016-05-10,six,M17,M32
2016-05-11,nine,M44,M02
2016-05-15,nine,M05,M02
2016-05-16,six,M20,M35
2016-05-16,six,M17,M32
2016-05-16,six,M35,M15
2016-05-17,nine,M42,M11
2016-05-17,nine,M42,M12
2016-05-23,six,M24,M04
2016-05-23,six,M24,M32
2016-05-23,six,M15,M04
2016-05-25,nine,M62,M39
2016-05-26,six,M28,M06
2016-05-28,five,M43,M27
2016-05-28,five,M27,M16
2016-05-28,six,M20,M04
2016-05-28,six,M17,M21
2016-05-28,six,M24,M04
2016-05-30,six,M35,M59
2016-06-01,six,M21,M59
2016-06-01,six,M04,M06
2016-06-01,six,M04,M20
2016-06-01,six,M17,M06
2016-06-04,nine,M39,M44
2016-06-04,nine,M44,M02
2016-06-04,nine,M11,M42
2016-06-04,nine,M62,M12
2016-06-07,nine,M11,M44
2016-06-07,nine,M49,M44
2016-06-08,six,M04,M20
2016-06-09,five,M43,M08
2016-06-14,five,M43,M27
2016-06-30,six,M51,M32
2016-06-30,nine,M42,M39
2016-07-01,six,M21,M06
2016-07-05,nine,M44,M02
2016-07-06,nine,M05,M02
2016-07-06,nine,M49,M44
2016-07-07,six,M20,M04
2016-07-07,six,M20,M04
2016-07-07,six,M15,M51
2016-07-10,six,M59,M04
2016-07-14,six,M35,M15
2016-07-14,six,M17,M06
2016-07-14,six,M17,M51
2016-07-17,six,M17,M51
2016-07-20,nine,M49,M44
2016-07-20,five,M09,M16
2016-07-23,five,M08,M55
2016-08-05,six,M28,M51
2016-08-13,nine,M49,M31
2016-08-17,six,M51,M20
2016-08-19,six,M24,M51
2016-12-08,five,M43,M27
2016-12-08,five,M38,M09
2016-12-08,five,M43,M16
2016-12-11,nine,M05,M02
2016-12-18,nine,M49,M02
2016-12-29,six,M35,M20
2016-12-29,six,M21,M35
2016-12-29,six,M51,M32
2016-12-30,nine,M62,M11
2017-01-02,five,M43,M16
2017-01-12,nine,M42,M41
2017-01-17,nine,M62,M12
2017-01-17,five,M43,M16
